IP:PORT, LOSS, DELAY
188.114.96.42:4177,0.00%,243 ms
188.114.96.193:2408,0.00%,243 ms
188.114.99.48:894,0.00%,243 ms
162.159.192.95:988,0.00%,243 ms
162.159.192.139:891,0.00%,243 ms
188.114.97.116:968,0.00%,243 ms
188.114.99.68:500,0.00%,243 ms
162.159.192.223:7156,0.00%,243 ms
188.114.97.50:987,0.00%,243 ms
188.114.96.59:1387,0.00%,243 ms
162.159.195.40:943,0.00%,243 ms
162.159.192.182:934,0.00%,243 ms
188.114.99.243:8886,0.00%,243 ms
162.159.192.160:942,0.00%,243 ms
188.114.98.86:939,0.00%,243 ms
162.159.195.84:8886,0.00%,243 ms
188.114.99.85:1843,0.00%,243 ms
162.159.192.206:7156,0.00%,243 ms
188.114.96.235:8319,0.00%,243 ms
188.114.98.110:939,0.00%,243 ms
188.114.99.61:500,0.00%,243 ms
188.114.96.202:3476,0.00%,243 ms
188.114.98.71:8742,0.00%,243 ms
188.114.96.129:943,0.00%,243 ms
188.114.99.21:854,0.00%,243 ms
162.159.192.72:988,0.00%,243 ms
188.114.97.134:890,0.00%,243 ms
188.114.97.61:987,0.00%,243 ms
188.114.96.18:3476,0.00%,243 ms
188.114.97.95:8854,0.00%,243 ms
162.159.195.55:943,0.00%,243 ms
188.114.96.119:891,0.00%,243 ms
188.114.97.136:968,0.00%,243 ms
188.114.98.213:864,0.00%,243 ms
188.114.96.110:891,0.00%,243 ms
188.114.99.204:2371,0.00%,243 ms
188.114.96.141:3581,0.00%,243 ms
188.114.98.207:864,0.00%,243 ms
188.114.99.37:500,0.00%,243 ms
188.114.96.247:8319,0.00%,243 ms
188.114.99.253:1701,0.00%,243 ms
188.114.98.93:1387,0.00%,243 ms
188.114.96.92:1387,0.00%,243 ms
188.114.99.19:854,0.00%,243 ms
188.114.96.157:2408,0.00%,243 ms
188.114.96.208:943,0.00%,243 ms
188.114.96.74:1387,0.00%,243 ms
188.114.96.173:3476,0.00%,243 ms
188.114.99.226:2371,0.00%,243 ms
188.114.96.87:1387,0.00%,243 ms
188.114.98.134:894,0.00%,243 ms
188.114.99.172:891,0.00%,243 ms
188.114.97.81:987,0.00%,243 ms
188.114.98.29:4233,0.00%,243 ms
188.114.98.133:894,0.00%,243 ms
162.159.192.65:988,0.00%,243 ms
188.114.98.194:864,0.00%,243 ms
188.114.99.159:891,0.00%,243 ms
188.114.98.99:1387,0.00%,243 ms
188.114.99.55:500,0.00%,243 ms
188.114.99.55:894,0.00%,243 ms
162.159.192.156:942,0.00%,243 ms
162.159.192.241:1074,0.00%,243 ms
188.114.96.138:4233,0.00%,243 ms
162.159.192.181:942,0.00%,243 ms
162.159.192.124:1014,0.00%,243 ms
188.114.96.91:968,0.00%,243 ms
188.114.99.154:4500,0.00%,243 ms
188.114.98.112:1387,0.00%,243 ms
188.114.98.127:894,0.00%,243 ms
162.159.192.235:1010,0.00%,243 ms
188.114.98.81:955,0.00%,243 ms
162.159.192.228:1010,0.00%,243 ms
188.114.99.84:4233,0.00%,243 ms
188.114.96.187:2408,0.00%,243 ms
162.159.192.217:7156,0.00%,243 ms
162.159.192.218:7156,0.00%,243 ms
162.159.192.249:894,0.00%,243 ms
